,前連結会計年度(自 平成26年4月1日 至 平成27年3月31日),当連結会計年度(自平成27年3月31日 至平成28年3月31日),
売上高,"51,285,934","51,784,001",
売上原価,"31,609,782","29,636,953",
売上総利益,"19,676,152","22,147,047",
販売費及びー般管理費,"16,586,871","17,832,604",
営業利益,"3,089,280","4,314,442",
営業外収益,"292,504","273,730",
営業外費用,"176,370","221,391",
経常利益,"3,205,414","4,366,781",
特別利益,37,"156,962",
特別損失,"33,552","65,404",
税金等調整前当期純利益,"3,171,899","4,458,339",
法人税、住民税及び事業税,"1,358,860","1,748,253",
法人税等調整額,"△128,565","△ 1 57,563",
法人税等合計,"1,230,295","1,590,689",
当期純利益,"1,941,604","2,867,650",
非支配株主に帰属する当期純利益,,,
親会社株主に帰属する当期純利益,"1,941,604","2,867,650",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
